- "財團法人張老師基金會台北分事務所","2.16.886.104.100451","02-27172990#63","台北市松山區敦化北路131號","o=財團法人張老師基金會台北分事務所,c=TW"
- "中華跨境電子商務發展協會","2.16.886.119.102008","02-27491761","臺北市中山區長安東路二段142號9樓之1","o=中華跨境電子商務發展協會,c=TW"
- "日商廣緣股份有限公司(在臺辦事處)","2.16.886.119.102387","02-25715098","臺北市中山區復興北路58號12樓","o=日商廣緣股份有限公司(在臺辦事處),c=TW"
+ "日商廣緣股份有限公司(在臺辦事處)","2.16.886.119.102387","02-25715098","臺北市中山區松江路220號6樓之2","o=日商廣緣股份有限公司(在臺辦事處),c=TW"
- "台北南亞記帳士事務所","2.16.886.110.90003.105354","02-23620011","臺北市大安區新生南路3段20-1號9樓","o=台北南亞記帳士事務所,l=臺北市,c=TW"
+ "台北南亞記帳士事務所","2.16.886.110.90003.105354","02-23620011","臺北市大安區新生南路三段20-1號9樓","o=台北南亞記帳士事務所,l=臺北市,c=TW"
+ "財團法人「張老師」基金會台北分事務所","2.16.886.104.101434.100001","02-25326180","臺北市中山區大直街20巷18號","ou=台北分事務所,o=財團法人「張老師」基金會,c=TW"
+ "非凡診所","2.16.886.119.90012.100167","05-5351880","雲林縣斗六市太平路168號","o=非凡診所,l=雲林縣,c=TW"
+ "社團法人臺灣園藝輔助治療協會","2.16.886.103.102485","02-22369529","臺北市文山區和興路52巷9號1樓","o=社團法人臺灣園藝輔助治療協會,c=TW"
+ "社團法人台灣居家護理暨服務協會","2.16.886.103.102486","02-27361661","臺北市信義區吳興街250號醫學大樓後棟14樓護理學院A1415H室","o=社團法人台灣居家護理暨服務協會,c=TW"
+ "社團法人台灣認知功能促進協會","2.16.886.103.102487","02-27167685","高雄市苓雅區廣州一街143之1號6樓","o=社團法人台灣認知功能促進協會,c=TW"
+ "臺南巿私立福瑞斯特國際藝術幼兒園","2.16.886.111.90028.100328","06-2988292","臺南市安平區府前路144巷58號","o=私立福瑞斯特國際藝術幼兒園,l=臺南市,c=TW"
+ "新銳牙醫診所","2.16.886.119.90027.101367","04-23192009","臺中市南屯區大墩路590、592號1樓、夾層、2樓","o=新銳牙醫診所,l=臺中市,c=TW"
+ "林玲慧會計稅務記帳士事務所","2.16.886.110.90028.100691","0931-866144","臺南市新營區開元路61之18號12樓","o=林玲慧會計稅務記帳士事務所,l=臺南市,c=TW"
