- "臺北市北投區湖田國民小學","2.16.886.111.90003.90008.100004","02-28616963","臺北市北投區竹子湖路17之2號","o=湖田國民小學,l=北投區,l=臺北市,c=TW"
- "屏東縣立林邊國民中學","2.16.886.111.90019.100011","","屏東縣林邊鄉光林村和平路四十三號","o=縣立林邊國民中學,l=屏東縣,c=TW"
+ "屏東縣立林邊國民中學","2.16.886.111.90019.100011","","屏東縣林邊鄉光林村和平路43號","o=縣立林邊國民中學,l=屏東縣,c=TW"
- "財團法人臺灣民主基金會","2.16.886.104.100014","02-27080100","台北市大安區信義路三段147巷17弄4號","o=財團法人臺灣民主基金會,c=TW"
+ "財團法人臺灣民主基金會","2.16.886.104.100014","02-27080100","臺北市大安區信義路三段147巷17弄4號","o=財團法人臺灣民主基金會,c=TW"
- "莊秀娟工商會計記帳士事務所","2.16.886.110.90006.100029","03-5330790","新竹市民族路一七八巷十五號","o=莊秀娟工商會計記帳士事務所,l=新竹市,c=TW"
- "台灣有機產業促進協會","2.16.886.103.100501","04-8876669","彰化縣埤頭鄉文化路369號明道大學寒梅大樓寒204室","o=台灣有機產業促進協會,c=TW"
- "臺南市善化區陽明國民小學","2.16.886.111.90028.90015.100006","06-5817165","台南縣善化鎮胡家里300號","o=陽明國民小學,l=善化區,l=臺南市,c=TW"
+ "臺南市善化區陽明國民小學","2.16.886.111.90028.90015.100006","06-5817165","臺南市善化區胡家里300號","o=陽明國民小學,l=善化區,l=臺南市,c=TW"
- "社團法人台灣阿甘精神發展協會","2.16.886.103.100922","02-23628787","台北市中正區羅斯福路三段76號8樓之1","o=社團法人台灣阿甘精神發展協會,c=TW"
+ "社團法人台灣阿甘精神發展協會","2.16.886.103.100922","02-23957575","臺北市大安區和平東路一段73號11樓","o=社團法人台灣阿甘精神發展協會,c=TW"
- "瑞樺記帳士事務所","2.16.886.110.90026.100315","02-22511345","新北市板橋區裕民街118號6樓","o=瑞樺記帳士事務所,l=新北市,c=TW"
- "永倫記帳士事務所","2.16.886.110.90028.100133","06-3561773","台南市安南區育安二街135巷7號","o=永倫記帳士事務所,l=臺南市,c=TW"
- "東昇記帳士事務所","2.16.886.110.90020.100054","03-9368686","宜蘭縣宜蘭市崇聖街141號","o=東昇記帳士事務所,l=宜蘭縣,c=TW"
- "蕙源記帳士事務所","2.16.886.110.90028.100183","06-5837943","台南市善化區樹人路2號","o=蕙源記帳士事務所,l=臺南市,c=TW"
- "曾燕萍記帳士事務所","2.16.886.110.90003.104253","28811719","台北市士林區前港街68巷5號2樓","o=曾燕萍記帳士事務所,l=臺北市,c=TW"
+ "曾燕萍記帳士事務所","2.16.886.110.90003.104253","02-28811719","臺北市士林區前港街68巷5號2樓","o=曾燕萍記帳士事務所,l=臺北市,c=TW"
- "呂瓊文記帳士事務所","2.16.886.110.90027.100367","04-22022233","台中市北區三民路3段89巷22號6樓","o=呂瓊文記帳士事務所,l=臺中市,c=TW"
- "亞泰記帳士事務所","2.16.886.110.90026.100331","02-29627283","新北市土城區中央路3段191-6號11樓","o=亞泰記帳士事務所,l=新北市,c=TW"
- "國群記帳士事務所","2.16.886.110.90028.100205","06-2918057","台南市南區金華路二段15巷12號","o=國群記帳士事務所,l=臺南市,c=TW"
